"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk",512500,52.0,9855.76923076923," Odświeżono dnia 29 kwietnia 2025","3pokoje z Odbiorem w tym roku_Garaż_12min Starówka","https://www.otodom.pl/pl/oferta/3pokoje-z-odbiorem-w-tym-roku-garaz-12min-starowka-ID4wRjg.html"
"Gdańsk, Siedlce",625000,63.3,9873.617693522907," 30 kwietnia 2025","3 min. do starego miasta/dobra cena -9.900 m2","https://www.otodom.pl/pl/oferta/3-min-do-starego-miasta-dobra-cena-9-900-m2-ID4wuwU.html"
"Gdańsk, Osowa",869000,88.01,9873.87796841268," 14 kwietnia 2025","Gdańsk dwupoziomowe 88 m2 do własnej aranżacji","https://www.otodom.pl/pl/oferta/gdansk-dwupoziomowe-88-m2-do-wlasnej-aranzacji-ID4s7Wf.html"
"Gdańsk, Pieck",698000,70.6,9886.685552407933,"Migowo - 25 kwietnia 2025","Gdańsk Morena 4 pokojowe ul. Piecewska","https://www.otodom.pl/pl/oferta/gdansk-morena-4-pokojowe-ul-piecewska-ID4v6U3.html"
"Gdańsk, Jasień",925000,93.11,9934.486091719471," 25 kwietnia 2025","Mieszkanie 2 Poziomowe ( 4 Pokoje) Jasień","https://www.otodom.pl/pl/oferta/mieszkanie-2-poziomowe-4-pokoje-jasien-ID4tuTN.html"
"Gdańsk",428300,43.0,9960.46511627907," 08 kwietnia 2025","⭐Nowe 2 pokoje + Słoneczny Ogródek + Parking ⭐","https://www.otodom.pl/pl/oferta/nowe-2-pokoje-sloneczny-ogrodek-parking-ID4wR34.html"
"Gdańsk, Brętowo",725000,72.69,9973.861604072088," 10 kwietnia 2025","Dwustronne | możliwe 4 pokoje | 72,69 m2 | piwnica","https://www.otodom.pl/pl/oferta/dwustronne-mozliwe-4-pokoje-72-69-m2-piwnica-ID4wsNa.html"
"Gdańsk, Brętowo",725000,72.69,9973.861604072088," 30 kwietnia 2025","Super lokalizacja | 3 pok. z opcją na 4 | 72,69 m2","https://www.otodom.pl/pl/oferta/super-lokalizacja-3-pok-z-opcja-na-4-72-69-m2-ID4uZlG.html"
"Gdańsk, Osowa",589000,59.0,9983.050847457627," 14 kwietnia 2025","Luna Gdańsk Osowa 3 pokojowe mieszkanie z balkonem","https://www.otodom.pl/pl/oferta/luna-gdansk-osowa-3-pokojowe-mieszkanie-z-balkonem-ID4s6rN.html"
"Gdańsk, Pieck",689000,69.0,9985.507246376812,"Migowo - 21 kwietnia 2025","Idealna inwestycja na Morenie – z ogródkiem","https://www.otodom.pl/pl/oferta/idealna-inwestycja-na-morenie-z-ogrodkiem-ID4wnrB.html"
"Gdańsk",699000,70.0,9985.714285714286," 15 kwietnia 2025","Lokal do zamieszkania umeblowany, niski czynsz !!","https://www.otodom.pl/pl/oferta/lokal-do-zamieszkania-umeblowany-niski-czynsz-ID4wYMS.html"
