"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk Aniołki, Mariana Smoluchowskiego",2199000.0,243.0,9049.382716049382,"Zaktualizowano: 30.04.2025","Blisko Akademii Medycznej mieszkanie 243 m2","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/blisko-akademii-medycznej-mieszkanie-243-m2-ogl66029692.html"
"Gdańsk Św. Wojciech - Lipce, Starogardzka",726000.0,78.94,9196.858373448189,"Zaktualizowano: dzisiaj","Nowe Południe 5A12: 4 pokoje z garderobą","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/nowe-poludnie-5a12-4-pokoje-z-garderoba-ogl66063119.html"
"Gdańsk Śródmieście, Aleja Zwycięstwa",1690000.0,183.3,9219.858156028367,"Zaktualizowano: 23.04.2025","Duże mieszkanie działką w centrum Gdańska","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/duze-mieszkanie-dzialka-w-centrum-gdanska-ogl65867653.html"
"Gdańsk, Wrzeszcz",888000.0,96.0,9250.0," 01 maja 2025","Klimatyczne mieszkanie w sercu Dolnego Wrzeszcza!","https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-w-sercu-dolnego-wrzeszcza-ID4vceY.html"
"Gdańsk",850000.0,91.88,9251.197213757076," 03 maja 2025","Dwa poziomy| Duzy salon | klimatyzacja","https://www.otodom.pl/pl/oferta/dwa-poziomy-duzy-salon-klimatyzacja-ID4uXdv.html"
"Gdańsk, Orunia",469000.0,50.6,9268.774703557312," Św. Wojciech - Lipce - 12 kwietnia 2025","2 pokoje |Ogród | Parter |","https://www.otodom.pl/pl/oferta/2-pokoje-ogrod-parter-ID4wMRW.html"
"Gdańsk, Osowa",790000.0,85.0,9294.117647058823," 22 kwietnia 2025","Dwupoziomowe Mieszkania+ Hala I Piwnica","https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkania-hala-i-piwnica-ID4wgZy.html"
"Gdańsk Osowa, Orfeusza",790000.0,85.0,9294.117647058823,"Zaktualizowano: dzisiaj","Dwupoziomowe mieszkania+ hala i piwnica","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/dwupoziomowe-mieszkania-hala-i-piwnica-ogl66022364.html"
"Gdańsk, Orunia",420000.0,45.0,9333.333333333334," Św. Wojciech - Lipce - 01 maja 2025","Sprzedam mieszkanie w ładnej okolicy Gdańsk Orunia","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-ladnej-okolicy-gdansk-orunia-ID4vcuU.html"
"Gdańsk",552700.0,59.1,9351.945854483925," Odświeżono dnia 02 maja 2025","Widna Kuchnia_ obok  Lasu + Garaż + kom.lok","https://www.otodom.pl/pl/oferta/widna-kuchnia-obok-lasu-garaz-kom-lok-ID4v5t7.html"
"Gdańsk",739000.0,78.94,9361.540410438309," 22 kwietnia 2025","4-pokojowe mieszkanie 78m2 + balkon Bez Prowizji","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-78m2-balkon-bez-prowizji-ID4uQ1N.html"
"Gdańsk",649000.0,69.3,9365.079365079366," 08 kwietnia 2025","Dwupoziomowe mieszkanie w spokojnej okolicy!","https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-w-spokojnej-okolicy-ID4uHo1.html"
